slug,spread,deep_ratio,deep_bid,deep_ask,up_ask,down_ask,winner,mid_price_up
btc-updown-5m-1771281300,0.09999999999999999,0.0,0.0,1005.22,0.12,0.98,Down,0.06999999999999999
btc-updown-5m-1771282200,0.07999999999999996,0.005073397342461373,53.95,10579.95,0.97,0.11,Up,0.9299999999999999
btc-updown-5m-1771283100,0.04000000000000001,0.9654688183429637,838.78,30.0,0.2,0.84,Up,0.18
btc-updown-5m-1771284000,0.10000000000000009,0.058626808906520875,143.05,2296.96,0.8,0.3,Up,0.75
btc-updown-5m-1771286700,0.10999999999999999,1.0,1228.42,0.0,0.9,0.21,Up,0.845
btc-updown-5m-1771292100,0.10999999999999999,0.0036055467473622366,40.32,11142.45,0.97,0.14,Up,0.915
btc-updown-5m-1771296000,0.08999999999999997,1.0,226.22,0.0,0.99,0.1,Up,0.9450000000000001
btc-updown-5m-1771297800,0.05999999999999994,1.0,17.29,0.0,0.98,0.08,Up,0.95
btc-updown-5m-1771309800,0.20999999999999996,0.044642857142857144,15.0,321.0,0.84,0.37,Up,0.735
btc-updown-5m-1771310100,0.08999999999999997,1.0,53.94,0.0,0.99,0.1,Up,0.9450000000000001
btc-updown-5m-1771312800,0.13,0.010262748189280014,47.0,4532.67,0.92,0.21,Up,0.855
btc-updown-5m-1771316700,0.05,0.9862727072301235,2370.9700000000003,33.0,0.13,0.92,Down,0.10500000000000001
btc-updown-5m-1771317900,0.13999999999999999,0.0,0.0,52.57,0.15,0.99,Down,0.08
btc-updown-5m-1771320300,0.11,0.0,0.0,116.0,0.12,0.99,Down,0.065
btc-updown-5m-1771326900,0.06999999999999998,0.6,72.0,48.0,0.21,0.86,Down,0.175
btc-updown-5m-1771330500,0.08999999999999997,1.0,33.0,0.0,0.99,0.1,Up,0.9450000000000001
btc-updown-5m-1771337100,0.22,0.9980755079055386,10890.97,21.0,0.25,0.97,Down,0.14
btc-updown-5m-1771340100,0.6799999999999999,0.0,0.0,67.0,0.7,0.98,Down,0.36
btc-updown-5m-1771344300,0.24000000000000002,0.9851055643129321,1587.34,24.0,0.34,0.9,Down,0.22000000000000003
btc-updown-5m-1771356600,0.22,0.7053330994707139,3418.1499999999996,1428.0,0.32,0.9,Up,0.21000000000000002
btc-updown-5m-1771361700,0.08000000000000007,0.3146982599037394,34.0,74.03999999999999,0.78,0.3,Up,0.74
btc-updown-5m-1771370400,0.05999999999999994,1.0,807.97,0.0,0.97,0.09,Up,0.94
btc-updown-5m-1771374900,0.15000000000000002,0.003105883028487171,30.29,9722.17,0.97,0.18,Up,0.895
btc-updown-5m-1771381500,0.07,0.0,0.0,30.65,0.13,0.94,Down,0.095
btc-updown-5m-1771383300,0.38999999999999996,0.0,0.0,110.0,0.41,0.98,Down,0.215
btc-updown-5m-1771386600,0.16,0.9978480489425402,11128.67,24.0,0.19,0.97,Up,0.11
btc-updown-5m-1771391100,0.049999999999999996,0.0,0.0,27.23,0.09,0.96,Down,0.065
btc-updown-5m-1771392000,0.13,0.8213858424725822,329.54,71.66,0.38,0.75,Down,0.315
btc-updown-5m-1771395900,0.06999999999999995,0.003927784389021954,38.980000000000004,9885.19,0.97,0.1,Up,0.935
btc-updown-5m-1771404300,0.19000000000000006,0.2559366754617414,97.0,282.0,0.91,0.28,Up,0.815
btc-updown-5m-1771405500,0.3,0.0,0.0,24.0,0.32,0.98,Down,0.17
btc-updown-5m-1771409400,0.6000000000000001,0.05045527081573266,129.0,2427.72,0.9,0.7,Up,0.6
btc-updown-5m-1771410000,0.51,0.1044699051629671,182.09,1560.8999999999999,0.61,0.9,Down,0.355
btc-updown-5m-1771410300,0.040000000000000036,0.8775991136264726,13853.49,1932.1799999999998,0.68,0.36,Up,0.66
btc-updown-5m-1771420800,0.5,0.7837052780729721,1216.8200000000002,335.83,0.6,0.9,Up,0.35
btc-updown-5m-1771421700,0.32,0.29239258185868905,619.46,1499.13,0.77,0.55,Up,0.61
btc-updown-5m-1771429200,0.21,0.7993101731678698,449.58000000000004,112.88,0.3,0.91,Up,0.195
btc-updown-5m-1771429800,0.16000000000000003,0.3891052865244306,464.51,729.28,0.88,0.28,Up,0.8
btc-updown-5m-1771437900,0.77,0.07656697838635225,518.52,6253.59,0.93,0.84,Up,0.545
btc-updown-5m-1771450800,0.26,0.9984573043553383,12944.32,20.0,0.29,0.97,Down,0.15999999999999998
btc-updown-5m-1771454100,0.43999999999999995,0.7031726662599146,414.9,175.14,0.57,0.87,Up,0.35
btc-updown-5m-1771455900,0.41999999999999993,0.4046212729764211,85.63,126.0,0.7,0.72,Down,0.49
btc-updown-5m-1771457700,0.05,0.0,0.0,166.34,0.07,0.98,Down,0.045000000000000005
btc-updown-5m-1771458600,0.04000000000000001,0.9967210420961429,12010.05,39.510000000000005,0.07,0.97,Down,0.05
btc-updown-5m-1771458900,0.08,0.99520425900003,21882.81,105.45,0.13,0.95,Down,0.09
btc-updown-5m-1771464300,0.12999999999999998,0.5189447898819951,6469.83,5997.45,0.3,0.83,Up,0.235
btc-updown-5m-1771482900,0.13,0.02626557173181243,49.0,1816.56,0.93,0.2,Up,0.865
btc-updown-5m-1771486200,0.09000000000000002,0.9615230203465497,2395.0,95.84,0.34,0.75,Down,0.29500000000000004
btc-updown-5m-1771486800,0.06999999999999995,0.008160850472700102,141.11,17149.98,0.95,0.12,Up,0.915
btc-updown-5m-1771487700,0.12,0.23770044973424798,104.65,335.61,0.83,0.29,Down,0.77
btc-updown-5m-1771490400,0.18,0.9917544096729937,4329.97,36.0,0.26,0.92,Down,0.17
btc-updown-5m-1771503000,0.1399999999999999,0.01079298504516225,200.1,18339.72,0.95,0.19,Up,0.88
btc-updown-5m-1771507500,0.08999999999999997,0.05821845572160488,885.99,14332.38,0.96,0.13,Up,0.915
btc-updown-5m-1771512300,0.050000000000000044,0.08429950173257876,348.86,3789.48,0.87,0.18,Down,0.845
btc-updown-5m-1771517400,0.1399999999999999,0.04279910699808543,673.09,15053.64,0.95,0.19,Up,0.88
btc-updown-5m-1771522500,0.13,0.9894746320905065,10548.7,112.21000000000001,0.16,0.97,Down,0.095
btc-updown-5m-1771531200,0.05999999999999994,1.0,77.24,0.0,0.99,0.07,Up,0.96
btc-updown-5m-1771534500,0.09,0.9209221598107639,1257.51,107.97999999999999,0.19,0.9,Down,0.14500000000000002
btc-updown-5m-1771538100,0.29999999999999993,0.0006998069401072181,17.41,24860.879999999997,0.95,0.35,Down,0.8
btc-updown-5m-1771559700,0.26,0.06621088938162108,10.75,151.61,0.29,0.97,Down,0.15999999999999998
btc-updown-5m-1771571400,0.04999999999999993,0.003039375104478519,40.0,13120.6,0.97,0.08,Up,0.9450000000000001
btc-updown-5m-1771599300,0.09999999999999998,0.08025193573203603,580.0,6647.24,0.97,0.13,Down,0.9199999999999999
btc-updown-5m-1771608600,0.10999999999999999,1.0,147.51,0.0,0.99,0.12,Up,0.935
btc-updown-5m-1771622100,0.07999999999999996,0.08466971871061488,1295.92,14009.67,0.97,0.11,Up,0.9299999999999999
btc-updown-5m-1771623000,0.07999999999999999,0.9845383624181671,8725.55,137.02999999999997,0.22,0.86,Down,0.18
btc-updown-5m-1771624200,0.05,0.9936313107920334,10297.2,66.0,0.1,0.95,Up,0.07500000000000001
btc-updown-5m-1771631100,0.12000000000000001,0.0,0.0,29.39,0.14,0.98,Up,0.08
btc-updown-5m-1771634700,0.18999999999999995,1.0,103.91,0.0,0.98,0.21,Up,0.885
btc-updown-5m-1771635000,0.17000000000000004,0.21836785625155977,61.25,219.24,0.67,0.5,Up,0.585
btc-updown-5m-1771636200,0.040000000000000036,1.0,272.83000000000004,0.0,0.98,0.06,Up,0.96
btc-updown-5m-1771639800,0.04000000000000001,0.8564594314759036,3639.6099999999997,609.99,0.2,0.84,Up,0.18
btc-updown-5m-1771641000,0.33999999999999997,0.0,0.0,42.43,0.36,0.98,Down,0.19
btc-updown-5m-1771643700,0.08,0.9484679704236059,6862.64,372.86,0.11,0.97,Down,0.07
btc-updown-5m-1771648500,0.15,0.9955356522808848,5017.43,22.5,0.21,0.94,Down,0.135
btc-updown-5m-1771648800,0.04000000000000001,0.9405204245477153,3245.04,205.22,0.14,0.9,Up,0.12000000000000001
btc-updown-5m-1771670400,0.04999999999999993,1.0,66.0,0.0,0.98,0.07,Up,0.9550000000000001
btc-updown-5m-1771671600,0.18,0.9955718121063535,8799.69,39.14,0.21,0.97,Down,0.12
btc-updown-5m-1771680900,0.06999999999999995,1.0,70.39,0.0,0.98,0.09,Up,0.9450000000000001
btc-updown-5m-1771683000,0.05999999999999994,0.0262355323644049,335.40999999999997,12449.16,0.95,0.11,Up,0.9199999999999999
btc-updown-5m-1771685400,0.06999999999999995,1.0,225.0,0.0,0.99,0.08,Up,0.9550000000000001
btc-updown-5m-1771688100,0.13,0.6955226302721474,2142.94,938.11,0.25,0.88,Down,0.185
btc-updown-5m-1771694400,0.2699999999999999,0.055795362898112585,880.0,14891.920000000002,0.95,0.32,Up,0.815
btc-updown-5m-1771696800,0.08,0.0,0.0,77.86,0.09,0.99,Down,0.049999999999999996
btc-updown-5m-1771698600,0.27,0.27051228654727194,38.97,105.09,0.43,0.84,Up,0.295
btc-updown-5m-1771699800,0.10999999999999999,0.055615472825987125,847.76,14395.48,0.95,0.16,Up,0.895
btc-updown-5m-1771704300,0.049999999999999996,0.9712473967237574,12498.4,370.0,0.09,0.96,Down,0.065
btc-updown-5m-1771719900,0.1,0.0,0.0,258.03,0.11,0.99,Down,0.06
