slug,entry_price,fee,payout,pnl,depth_ratio_at_signal,depth_ratio_zscore,spread_at_signal,spread_zscore,mid_price_at_signal,snapshot_idx,total_snapshots
btc-updown-5m-1771277400,0.45,0.00015298748437500003,1.0,0.5498470125156251,0.1387266355140187,1.5349051647585548,0.0,-3.918332978874222,0.45,54,32879
btc-updown-5m-1771329600,0.5,0.0001734375,1.0,0.4998265625,0.9506179877770684,4.108411688383207,0.010000000000000009,-0.14142135623730975,0.495,163,25242
btc-updown-5m-1771371900,0.52,0.00017979826176,1.0,0.47982020173823997,0.9361476315276483,1.6780927465703475,0.010000000000000009,-0.2745625891934576,0.515,52,27491
btc-updown-5m-1771416900,0.51,0.00017676475330500002,0.0,-0.510176764753305,0.916917854098161,1.8892787988171849,0.010000000000000009,0.0,0.505,51,28543
btc-updown-5m-1771429200,0.48,0.00016596762623999998,1.0,0.51983403237376,0.574724958841822,1.5292888454030746,0.019999999999999962,0.0,0.47,110,46160
btc-updown-5m-1771506900,0.52,0.00017979826176,0.0,-0.52017979826176,1.9310951321711238,2.0329973800739296,0.010000000000000009,0.0,0.515,41,27261
btc-updown-5m-1771513200,0.46,0.00015752663568000005,1.0,0.53984247336432,0.7858831757026775,1.7245242441526631,0.010000000000000009,-2.602270974266952,0.455,175,32529
btc-updown-5m-1771540200,0.55,0.00018698470312500002,0.0,-0.550186984703125,6.828606785603796,2.5579558396982844,0.030000000000000027,0.485322228344119,0.535,36,26515
btc-updown-5m-1771568100,0.49,0.00016983280219500004,1.0,0.509830167197805,1.0823445746154134,1.5096182862343235,0.010000000000000009,0.0,0.485,24,28525
btc-updown-5m-1771577400,0.53,0.00018252245761499997,1.0,0.46981747754238495,3.3675618567241496,1.6526177847811776,0.010000000000000009,-2.268259244442752,0.525,107,15442
btc-updown-5m-1771702200,0.53,0.00018252245761499997,1.0,0.46981747754238495,1.4707154088050314,2.2160139453430943,0.030000000000000027,0.0,0.515,24,21609
btc-updown-5m-1771730100,0.49,0.00016983280219500004,0.0,-0.490169832802195,2.019157822138779,1.8363126894183095,0.010000000000000009,-0.47185079400819835,0.485,54,15395
