slug,token_bought,entry_price,fee,cost,payout,pnl,winner,won,imbalance,spread,mid_price
btc-updown-5m-1771502700,Up,0.58,0.00019101855024000001,0.5801910185502399,1.0,4.198089814497601,Up,True,0.5381526545674479,0.030909090909090827,0.5645454545454545
btc-updown-5m-1771505700,Up,0.5438235294117648,0.00018575167001810714,0.5440092810817829,0.0,-5.440092810817829,Down,False,0.47324312056148266,0.02470588235294118,0.5314705882352941
btc-updown-5m-1771508700,Up,0.55,0.00018698470312500002,0.550186984703125,0.0,-5.50186984703125,Down,False,0.7287951151189005,0.020000000000000018,0.54
btc-updown-5m-1771513200,Down,0.53,0.00018252245761499997,0.530182522457615,0.0,-5.30182522457615,Up,False,-0.44712227954232536,0.030000000000000027,0.48500000000000004
btc-updown-5m-1771540200,Up,0.5544444444444445,0.00018778928917234747,0.5546322337336169,0.0,-5.54632233733617,Down,False,0.4632933569590654,0.033703703703703715,0.5375925925925926
btc-updown-5m-1771540800,Up,0.54,0.00018492257232000006,0.54018492257232,1.0,4.5981507742768,Up,True,0.42191369071667156,0.020000000000000018,0.53
btc-updown-5m-1771554300,Down,0.4936363636363636,0.00017117464523289116,0.4938075382815965,1.0,5.061924617184035,Down,True,-0.526019044547256,0.030000000000000027,0.5213636363636364
btc-updown-5m-1771559100,Up,0.53,0.00018252245761499997,0.530182522457615,0.0,-5.30182522457615,Down,False,0.4169177119912974,0.020000000000000018,0.52
btc-updown-5m-1771590300,Down,0.5038461538461538,0.0001747509521936264,0.5040209047983475,1.0,4.959790952016525,Down,True,-0.4774553423184754,0.023846153846153868,0.5080769230769231
btc-updown-5m-1771592700,Up,0.5712499999999999,0.0001901865885776866,0.5714401865885776,1.0,4.285598134114224,Up,True,0.8718799547288417,0.029999999999999916,0.5562499999999999
btc-updown-5m-1771600500,Up,0.5977272727272727,0.00019179769293042087,0.5979190704202031,1.0,4.020809295797969,Up,True,0.7827728513814077,0.03818181818181816,0.5786363636363636
btc-updown-5m-1771612800,Down,0.505625,0.00017534427942681905,0.5058003442794268,0.0,-5.058003442794268,Up,False,-0.4002773804775006,0.025625000000000023,0.5071875
btc-updown-5m-1771617000,Down,0.5,0.0001734375,0.5001734375,0.0,-5.001734375,Up,False,-0.5001343431459807,0.030000000000000027,0.515
btc-updown-5m-1771619700,Up,0.5446153846153846,0.00018591713065890884,0.5448013017460436,1.0,4.551986982539564,Up,True,0.402955811862789,0.020000000000000018,0.5346153846153846
btc-updown-5m-1771629000,Up,0.5,0.0001734375,0.5001734375,0.0,-5.001734375,Down,False,0.5720356843078934,0.030000000000000027,0.485
btc-updown-5m-1771630200,Up,0.53625,0.00018406140971892384,0.5364340614097189,0.0,-5.364340614097189,Down,False,0.744685326771204,0.026250000000000023,0.5231250000000001
btc-updown-5m-1771632300,Down,0.526,0.0001814708606500368,0.52618147086065,1.0,4.738185291393499,Down,True,-0.906797104276324,0.026000000000000006,0.487
btc-updown-5m-1771634100,Up,0.55,0.00018698470312500002,0.550186984703125,1.0,4.49813015296875,Up,True,0.4088685266763323,0.030000000000000027,0.535
btc-updown-5m-1771653600,Down,0.52,0.00017979826176,0.52017979826176,0.0,-5.2017979826176,Up,False,-0.5268359985325695,0.020000000000000018,0.49
btc-updown-5m-1771660200,Down,0.5,0.0001734375,0.5001734375,0.0,-5.001734375,Up,False,-0.5384927949434523,0.03250000000000003,0.51625
btc-updown-5m-1771682400,Up,0.43,0.00014336662486500002,0.430143366624865,0.0,-4.30143366624865,Down,False,0.44842493331492694,0.020000000000000018,0.42
btc-updown-5m-1771683000,Down,0.5041176470588236,0.00017484209080532382,0.5042924891496289,0.0,-5.0429248914962885,Up,False,-0.41270873517481416,0.04058823529411768,0.5161764705882353
btc-updown-5m-1771683600,Up,0.5481818181818182,0.00018663550715704262,0.5483684536889752,1.0,4.516315463110248,Up,True,0.4167736907676635,0.023636363636363657,0.5363636363636364
btc-updown-5m-1771693200,Up,0.5490909090909092,0.0001868115509983317,0.5492777206419075,0.0,-5.492777206419075,Down,False,0.7132678164581776,0.029090909090909115,0.5345454545454547
btc-updown-5m-1771693500,Down,0.466875,0.00016052879201494734,0.46703552879201493,1.0,5.329644712079851,Down,True,-0.4913490506410837,0.05111111111111107,0.5411111111111111
btc-updown-5m-1771695600,Down,0.5336,0.00018342457832595257,0.533783424578326,0.0,-5.3378342457832595,Up,False,-0.5489643996035775,0.024545454545454558,0.48045454545454547
btc-updown-5m-1771714800,Up,0.5771428571428572,0.00019077888247851014,0.5773336360253357,0.0,-5.773336360253357,Down,False,0.49147721190987387,0.04071428571428565,0.5567857142857142
btc-updown-5m-1771716300,Up,0.48,0.00016596762623999998,0.48016596762624,1.0,5.1983403237376,Up,True,0.6525134027519243,0.02999999999999997,0.465
btc-updown-5m-1771716900,Up,0.46611111111111114,0.00016020022268250334,0.4662713113337936,1.0,5.3372868866620635,Up,True,0.48073819818240715,0.04055555555555558,0.44583333333333336
btc-updown-5m-1771746600,Up,0.5384,0.00018456091603697374,0.538584560916037,0.0,-5.38584560916037,Down,False,0.41579203525463354,0.031200000000000026,0.5228
btc-updown-5m-1771747200,Up,0.5408333333333334,0.00018510751089930634,0.5410184408442327,0.0,-5.410184408442326,Down,False,0.5816071354338727,0.021666666666666685,0.53
btc-updown-5m-1771753500,Down,0.52,0.00017979826176,0.52017979826176,0.0,-5.2017979826176,Up,False,-0.4604667433650098,0.020000000000000018,0.49
btc-updown-5m-1771767600,Up,0.6096774193548387,0.00019161992555453356,0.6098690392803932,0.0,-6.098690392803931,Down,False,0.6102945262285207,0.04161290322580644,0.5888709677419355
btc-updown-5m-1771776000,Up,0.62,0.00019100082576,0.62019100082576,0.0,-6.2019100082576,Down,False,0.6193375141611495,0.06,0.59
